핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
서울 암사동 유적,,보통,400,500,40.4,59.6,2024-11-13 10:55
서울 암사동 유적,,보통,400,500,40.7,59.3,2024-11-13 11:00
서울 암사동 유적,,여유,400,500,41.1,58.9,2024-11-13 11:10
서울 암사동 유적,,여유,400,500,40.7,59.3,2024-11-13 11:20
서울 암사동 유적,,여유,400,500,40.7,59.3,2024-11-13 11:30
서울 암사동 유적,,여유,400,500,40.5,59.5,2024-11-13 11:40
서울 암사동 유적,,여유,400,500,41.2,58.8,2024-11-13 11:50
서울 암사동 유적,,여유,400,500,42.8,57.2,2024-11-13 12:00
서울 암사동 유적,,여유,400,500,42.9,57.1,2024-11-13 12:10
서울 암사동 유적,,여유,400,500,43.1,56.9,2024-11-13 12:25
서울 암사동 유적,,여유,400,500,43.3,56.7,2024-11-13 12:35
서울 암사동 유적,,여유,400,500,43.3,56.7,2024-11-13 12:45
서울 암사동 유적,,여유,400,500,43.3,56.7,2024-11-13 12:55
서울 암사동 유적,,여유,400,500,42.3,57.7,2024-11-13 13:05
서울 암사동 유적,,여유,400,500,42.1,57.9,2024-11-13 13:15
서울 암사동 유적,,여유,400,500,40.4,59.6,2024-11-13 13:25
서울 암사동 유적,,여유,400,500,40.4,59.6,2024-11-13 13:35
서울 암사동 유적,,여유,400,500,40.1,59.9,2024-11-13 13:45
서울 암사동 유적,,여유,400,500,39.4,60.6,2024-11-13 13:55
서울 암사동 유적,,여유,200,300,44.5,55.5,2024-11-13 17:50
서울 암사동 유적,,여유,200,300,45.0,55.0,2024-11-13 18:00
서울 암사동 유적,,여유,200,300,44.6,55.4,2024-11-13 18:10
서울 암사동 유적,,여유,200,300,43.7,56.3,2024-11-13 18:20
서울 암사동 유적,,여유,200,300,44.3,55.7,2024-11-13 18:30
서울 암사동 유적,,여유,200,300,43.8,56.2,2024-11-13 18:40
서울 암사동 유적,,여유,200,300,44.0,56.0,2024-11-13 18:50
서울 암사동 유적,,여유,200,300,43.9,56.1,2024-11-13 19:00
서울 암사동 유적,,여유,200,300,44.8,55.2,2024-11-13 19:10
서울 암사동 유적,,여유,200,300,43.5,56.5,2024-11-13 19:35
서울 암사동 유적,,여유,200,300,44.7,55.3,2024-11-13 19:40
서울 암사동 유적,,여유,200,300,44.8,55.2,2024-11-13 19:45
서울 암사동 유적,,여유,200,300,42.2,57.8,2024-11-13 19:50
서울 암사동 유적,,여유,200,300,42.2,57.8,2024-11-13 19:50
서울 암사동 유적,,여유,200,300,42.2,57.8,2024-11-13 19:50
서울 암사동 유적,,여유,200,300,46.3,53.7,2024-11-13 19:55
서울 암사동 유적,,여유,200,300,46.3,53.7,2024-11-13 19:55
서울 암사동 유적,,여유,200,300,46.3,53.7,2024-11-13 19:55
서울 암사동 유적,,여유,200,300,43.7,56.3,2024-11-13 20:05
서울 암사동 유적,,여유,200,300,47.0,53.0,2024-11-13 20:15
서울 암사동 유적,,여유,200,300,48.2,51.8,2024-11-13 20:25
서울 암사동 유적,,여유,200,300,45.2,54.8,2024-11-13 20:35
서울 암사동 유적,,여유,200,300,46.6,53.4,2024-11-13 20:45
서울 암사동 유적,,여유,200,300,48.7,51.3,2024-11-13 20:55
서울 암사동 유적,,여유,200,300,51.7,48.3,2024-11-13 21:05
서울 암사동 유적,,여유,200,300,53.9,46.1,2024-11-13 21:20
서울 암사동 유적,,여유,200,300,59.1,40.9,2024-11-13 21:30
서울 암사동 유적,,여유,200,300,61.0,39.0,2024-11-13 21:40
서울 암사동 유적,,여유,200,300,63.2,36.8,2024-11-13 21:50
서울 암사동 유적,,여유,200,300,66.2,33.8,2024-11-13 22:00
서울 암사동 유적,,여유,200,300,68.7,31.3,2024-11-13 22:10
서울 암사동 유적,,여유,200,300,68.1,31.9,2024-11-13 22:20
서울 암사동 유적,,여유,200,300,70.4,29.6,2024-11-13 22:30
서울 암사동 유적,,여유,200,300,70.8,29.2,2024-11-13 22:40
서울 암사동 유적,,여유,200,300,73.6,26.4,2024-11-13 22:50
서울 암사동 유적,,여유,200,300,74.6,25.4,2024-11-13 23:00
서울 암사동 유적,,여유,200,300,74.4,25.6,2024-11-13 23:10
서울 암사동 유적,,여유,200,300,76.0,24.0,2024-11-13 23:20
서울 암사동 유적,,여유,200,300,75.5,24.5,2024-11-13 23:30
서울 암사동 유적,,여유,300,400,75.7,24.3,2024-11-13 23:40
서울 암사동 유적,,여유,300,400,76.0,24.0,2024-11-13 23:50
서울 암사동 유적,,여유,300,400,78.6,21.4,2024-11-14 00:00
서울 암사동 유적,,여유,300,400,80.6,19.4,2024-11-14 00:10
서울 암사동 유적,,여유,300,400,80.9,19.1,2024-11-14 00:20
서울 암사동 유적,,여유,300,400,81.5,18.5,2024-11-14 00:30
서울 암사동 유적,,여유,300,400,81.8,18.2,2024-11-14 00:40
서울 암사동 유적,,여유,300,400,82.2,17.8,2024-11-14 00:50
서울 암사동 유적,,여유,300,400,44.4,55.6,2024-11-14 10:40
서울 암사동 유적,,여유,300,400,42.1,57.9,2024-11-14 10:50
서울 암사동 유적,,여유,300,400,44.5,55.5,2024-11-14 11:00
서울 암사동 유적,,여유,200,300,45.4,54.6,2024-11-14 11:10
서울 암사동 유적,,여유,200,300,46.1,53.9,2024-11-14 11:20
서울 암사동 유적,,여유,200,300,44.5,55.5,2024-11-14 11:30
서울 암사동 유적,,여유,200,300,45.9,54.1,2024-11-14 11:40
서울 암사동 유적,,여유,200,300,43.5,56.5,2024-11-14 11:50
서울 암사동 유적,,여유,200,300,46.1,53.9,2024-11-14 12:00
서울 암사동 유적,,여유,200,300,50.8,49.2,2024-11-14 12:10
서울 암사동 유적,,여유,200,300,50.7,49.3,2024-11-14 12:20
서울 암사동 유적,,여유,200,300,50.5,49.5,2024-11-14 12:30
서울 암사동 유적,,여유,200,300,47.6,52.4,2024-11-14 12:40
서울 암사동 유적,,여유,200,300,43.1,56.9,2024-11-14 12:50
서울 암사동 유적,,여유,200,300,43.7,56.3,2024-11-14 13:00
서울 암사동 유적,,여유,300,400,40.5,59.5,2024-11-14 13:15
서울 암사동 유적,,여유,200,300,39.7,60.3,2024-11-14 13:25
서울 암사동 유적,,여유,200,300,43.5,56.5,2024-11-14 13:35
서울 암사동 유적,,여유,200,300,46.8,53.2,2024-11-14 13:45
서울 암사동 유적,,여유,200,300,45.3,54.7,2024-11-14 13:55
서울 암사동 유적,,여유,200,300,43.1,56.9,2024-11-14 14:05
서울 암사동 유적,,여유,200,300,44.2,55.8,2024-11-14 14:15
서울 암사동 유적,,여유,200,300,45.0,55.0,2024-11-14 14:25
서울 암사동 유적,,여유,200,300,46.2,53.8,2024-11-14 14:35
서울 암사동 유적,,여유,200,300,45.7,54.3,2024-11-14 14:45
서울 암사동 유적,,여유,200,300,45.9,54.1,2024-11-14 14:55
서울 암사동 유적,,여유,200,300,48.0,52.0,2024-11-14 15:10
서울 암사동 유적,,여유,200,300,45.5,54.5,2024-11-14 15:20
서울 암사동 유적,,여유,200,300,46.2,53.8,2024-11-14 15:30
서울 암사동 유적,,여유,200,300,46.7,53.3,2024-11-14 15:40
서울 암사동 유적,,여유,200,300,46.0,54.0,2024-11-14 15:50
서울 암사동 유적,,여유,200,300,45.0,55.0,2024-11-14 16:00
서울 암사동 유적,,여유,200,300,45.6,54.4,2024-11-14 16:10
서울 암사동 유적,,여유,200,300,47.3,52.7,2024-11-14 16:20
서울 암사동 유적,,여유,200,300,49.3,50.7,2024-11-14 16:40
서울 암사동 유적,,여유,200,300,52.7,47.3,2024-11-14 17:00
서울 암사동 유적,,여유,200,300,51.7,48.3,2024-11-14 17:10
서울 암사동 유적,,여유,200,300,50.8,49.2,2024-11-14 17:25
서울 암사동 유적,,여유,200,300,54.4,45.6,2024-11-14 17:35
서울 암사동 유적,,여유,200,300,52.3,47.7,2024-11-14 17:45
서울 암사동 유적,,여유,200,300,53.5,46.5,2024-11-14 17:55
서울 암사동 유적,,여유,200,300,53.0,47.0,2024-11-14 18:05
서울 암사동 유적,,여유,200,300,51.1,48.9,2024-11-14 18:15
서울 암사동 유적,,여유,200,300,48.7,51.3,2024-11-14 18:25
서울 암사동 유적,,여유,200,300,51.2,48.8,2024-11-14 18:35
서울 암사동 유적,,여유,200,300,52.9,47.1,2024-11-14 18:45
서울 암사동 유적,,여유,200,300,51.2,48.8,2024-11-14 18:55
서울 암사동 유적,,여유,200,300,53.7,46.3,2024-11-14 19:05
서울 암사동 유적,,여유,200,300,52.8,47.2,2024-11-14 19:15
서울 암사동 유적,,여유,200,300,56.9,43.1,2024-11-14 19:25
서울 암사동 유적,,여유,200,300,55.8,44.2,2024-11-14 19:35
서울 암사동 유적,,여유,200,300,60.8,39.2,2024-11-14 19:45
서울 암사동 유적,,여유,200,300,63.5,36.5,2024-11-14 19:55
서울 암사동 유적,,여유,200,300,63.1,36.9,2024-11-14 20:05
서울 암사동 유적,,여유,200,300,62.7,37.3,2024-11-14 20:15
서울 암사동 유적,,여유,200,300,65.9,34.1,2024-11-14 20:30
서울 암사동 유적,,여유,200,300,66.4,33.6,2024-11-14 20:40
서울 암사동 유적,,여유,200,300,68.3,31.7,2024-11-14 20:50
서울 암사동 유적,,여유,200,300,69.7,30.3,2024-11-14 21:00
서울 암사동 유적,,여유,200,300,71.0,29.0,2024-11-14 21:10
서울 암사동 유적,,여유,200,300,70.1,29.9,2024-11-14 21:20
서울 암사동 유적,,여유,200,300,69.6,30.4,2024-11-14 21:30
서울 암사동 유적,,여유,200,300,71.9,28.1,2024-11-14 21:40
서울 암사동 유적,,여유,200,300,71.2,28.8,2024-11-14 21:50
서울 암사동 유적,,여유,200,300,72.7,27.3,2024-11-14 22:00
서울 암사동 유적,,여유,200,300,74.0,26.0,2024-11-14 22:10
서울 암사동 유적,,여유,200,300,73.2,26.8,2024-11-14 22:20
서울 암사동 유적,,여유,200,300,75.0,25.0,2024-11-14 22:30
서울 암사동 유적,,여유,200,300,76.1,23.9,2024-11-14 22:40
서울 암사동 유적,,여유,200,300,76.2,23.8,2024-11-14 22:50
서울 암사동 유적,,여유,200,300,78.3,21.7,2024-11-14 23:00
서울 암사동 유적,,여유,200,300,79.7,20.3,2024-11-14 23:10
서울 암사동 유적,,여유,300,400,77.3,22.7,2024-11-14 23:20
서울 암사동 유적,,여유,300,400,78.2,21.8,2024-11-14 23:30
서울 암사동 유적,,여유,300,400,79.6,20.4,2024-11-14 23:40
서울 암사동 유적,,여유,300,400,80.4,19.6,2024-11-14 23:50
서울 암사동 유적,,여유,300,400,80.7,19.3,2024-11-15 00:00
서울 암사동 유적,,여유,300,400,82.3,17.7,2024-11-15 00:25
서울 암사동 유적,,여유,300,400,82.1,17.9,2024-11-15 00:35
서울 암사동 유적,,여유,300,400,82.2,17.8,2024-11-15 00:45
서울 암사동 유적,,여유,300,400,82.1,17.9,2024-11-15 00:55
서울 암사동 유적,,여유,300,400,83.7,16.3,2024-11-15 01:05
서울 암사동 유적,,여유,300,400,83.5,16.5,2024-11-15 01:15
서울 암사동 유적,,여유,300,400,84.0,16.0,2024-11-15 01:25
서울 암사동 유적,,여유,300,400,83.6,16.4,2024-11-15 01:35
서울 암사동 유적,,여유,300,400,83.5,16.5,2024-11-15 01:45
서울 암사동 유적,,여유,300,400,83.1,16.9,2024-11-15 01:55
서울 암사동 유적,,여유,300,400,84.4,15.6,2024-11-15 02:05
서울 암사동 유적,,여유,300,400,82.6,17.4,2024-11-15 02:15
서울 암사동 유적,,여유,300,400,82.4,17.6,2024-11-15 02:25
서울 암사동 유적,,여유,300,400,82.9,17.1,2024-11-15 02:35
서울 암사동 유적,,여유,300,400,83.5,16.5,2024-11-15 02:55
서울 암사동 유적,,여유,300,400,83.4,16.6,2024-11-15 03:05
서울 암사동 유적,,여유,300,400,84.7,15.3,2024-11-15 03:15
서울 암사동 유적,,여유,300,400,83.9,16.1,2024-11-15 03:25
서울 암사동 유적,,여유,300,400,84.0,16.0,2024-11-15 03:40
서울 암사동 유적,,여유,300,400,82.8,17.2,2024-11-15 03:50
서울 암사동 유적,,여유,300,400,82.8,17.2,2024-11-15 04:00
서울 암사동 유적,,여유,300,400,84.3,15.7,2024-11-15 04:10
서울 암사동 유적,,여유,300,400,83.8,16.2,2024-11-15 04:20
서울 암사동 유적,,여유,300,400,82.9,17.1,2024-11-15 04:30
서울 암사동 유적,,여유,300,400,82.7,17.3,2024-11-15 04:40
서울 암사동 유적,,여유,300,400,81.3,18.7,2024-11-15 04:50
서울 암사동 유적,,여유,300,400,81.3,18.7,2024-11-15 05:00
서울 암사동 유적,,여유,300,400,79.5,20.5,2024-11-15 05:20
서울 암사동 유적,,여유,300,400,79.7,20.3,2024-11-15 05:30
서울 암사동 유적,,여유,300,400,77.7,22.3,2024-11-15 05:40
서울 암사동 유적,,여유,300,400,76.5,23.5,2024-11-15 05:50
서울 암사동 유적,,여유,300,400,75.1,24.9,2024-11-15 06:00
서울 암사동 유적,,여유,300,400,72.3,27.7,2024-11-15 06:10
서울 암사동 유적,,여유,300,400,71.9,28.1,2024-11-15 06:20
서울 암사동 유적,,여유,300,400,67.9,32.1,2024-11-15 06:30
서울 암사동 유적,,여유,300,400,68.3,31.7,2024-11-15 06:45
서울 암사동 유적,,여유,300,400,67.0,33.0,2024-11-15 06:55
서울 암사동 유적,,여유,300,400,67.3,32.7,2024-11-15 07:05
서울 암사동 유적,,여유,300,400,66.7,33.3,2024-11-15 07:15
서울 암사동 유적,,여유,300,400,66.4,33.6,2024-11-15 07:25
서울 암사동 유적,,여유,300,400,64.5,35.5,2024-11-15 07:35
서울 암사동 유적,,여유,300,400,59.8,40.2,2024-11-15 07:45
서울 암사동 유적,,여유,300,400,58.5,41.5,2024-11-15 07:55
서울 암사동 유적,,여유,300,400,54.2,45.8,2024-11-15 08:05
서울 암사동 유적,,여유,400,500,49.3,50.7,2024-11-15 08:15
서울 암사동 유적,,여유,300,400,51.5,48.5,2024-11-15 08:25
서울 암사동 유적,,여유,300,400,49.7,50.3,2024-11-15 08:35
서울 암사동 유적,,여유,300,400,48.1,51.9,2024-11-15 08:45
서울 암사동 유적,,여유,300,400,46.3,53.7,2024-11-15 08:55
서울 암사동 유적,,여유,300,400,45.9,54.1,2024-11-15 09:05
서울 암사동 유적,,여유,400,500,41.8,58.2,2024-11-15 09:25
서울 암사동 유적,,여유,300,400,42.0,58.0,2024-11-15 09:40
서울 암사동 유적,,여유,300,400,42.2,57.8,2024-11-15 09:50
서울 암사동 유적,,여유,300,400,41.8,58.2,2024-11-15 10:00
서울 암사동 유적,,여유,300,400,41.6,58.4,2024-11-15 10:10
서울 암사동 유적,,여유,300,400,41.8,58.2,2024-11-15 10:20
서울 암사동 유적,,여유,300,400,41.7,58.3,2024-11-15 10:30
서울 암사동 유적,,여유,300,400,42.3,57.7,2024-11-15 10:40
서울 암사동 유적,,여유,300,400,39.8,60.2,2024-11-15 10:50
서울 암사동 유적,,여유,300,400,39.6,60.4,2024-11-15 11:00
서울 암사동 유적,,여유,300,400,38.0,62.0,2024-11-15 11:10
서울 암사동 유적,,여유,300,400,35.5,64.5,2024-11-15 11:20
서울 암사동 유적,,여유,300,400,36.0,64.0,2024-11-15 11:30
서울 암사동 유적,,여유,300,400,38.4,61.6,2024-11-15 11:40
서울 암사동 유적,,여유,200,300,38.5,61.5,2024-11-15 11:50
서울 암사동 유적,,여유,200,300,40.0,60.0,2024-11-15 12:00
서울 암사동 유적,,여유,200,300,40.9,59.1,2024-11-15 12:10
서울 암사동 유적,,여유,200,300,40.7,59.3,2024-11-15 12:20
서울 암사동 유적,,여유,200,300,41.7,58.3,2024-11-15 12:30
서울 암사동 유적,,여유,200,300,41.8,58.2,2024-11-15 12:40
서울 암사동 유적,,여유,200,300,43.2,56.8,2024-11-15 12:50
서울 암사동 유적,,여유,200,300,41.9,58.1,2024-11-15 13:00
서울 암사동 유적,,여유,200,300,44.9,55.1,2024-11-15 13:15
서울 암사동 유적,,여유,200,300,42.0,58.0,2024-11-15 13:25
서울 암사동 유적,,여유,200,300,43.0,57.0,2024-11-15 13:35
서울 암사동 유적,,여유,200,300,41.9,58.1,2024-11-15 13:45
서울 암사동 유적,,여유,200,300,42.3,57.7,2024-11-15 13:55
서울 암사동 유적,,여유,200,300,42.1,57.9,2024-11-15 14:05
서울 암사동 유적,,여유,200,300,42.4,57.6,2024-11-15 14:15
서울 암사동 유적,,여유,200,300,40.4,59.6,2024-11-15 14:25
서울 암사동 유적,,여유,200,300,40.4,59.6,2024-11-15 14:35
서울 암사동 유적,,여유,200,300,41.0,59.0,2024-11-15 14:45
서울 암사동 유적,,여유,200,300,42.8,57.2,2024-11-15 14:55
서울 암사동 유적,,여유,200,300,41.1,58.9,2024-11-15 15:05
서울 암사동 유적,,여유,200,300,38.4,61.6,2024-11-15 15:15
서울 암사동 유적,,여유,200,300,36.7,63.3,2024-11-15 15:25
서울 암사동 유적,,여유,200,300,37.3,62.7,2024-11-15 15:35
서울 암사동 유적,,여유,200,300,38.8,61.2,2024-11-15 15:45
서울 암사동 유적,,여유,200,300,39.9,60.1,2024-11-15 15:55
서울 암사동 유적,,여유,200,300,37.0,63.0,2024-11-15 16:15
서울 암사동 유적,,여유,300,400,36.9,63.1,2024-11-15 16:25
서울 암사동 유적,,여유,200,300,37.9,62.1,2024-11-15 16:35
서울 암사동 유적,,여유,300,400,35.7,64.3,2024-11-15 16:45
서울 암사동 유적,,여유,200,300,37.4,62.6,2024-11-15 17:00
서울 암사동 유적,,여유,200,300,40.6,59.4,2024-11-15 17:10
서울 암사동 유적,,여유,200,300,42.3,57.7,2024-11-15 17:20
서울 암사동 유적,,여유,200,300,41.6,58.4,2024-11-15 17:30
서울 암사동 유적,,여유,200,300,42.4,57.6,2024-11-15 17:40
서울 암사동 유적,,여유,200,300,39.9,60.1,2024-11-15 17:50
서울 암사동 유적,,여유,200,300,40.4,59.6,2024-11-15 18:00
서울 암사동 유적,,여유,200,300,42.6,57.4,2024-11-15 18:10
서울 암사동 유적,,여유,200,300,45.1,54.9,2024-11-15 18:20
서울 암사동 유적,,여유,200,300,47.0,53.0,2024-11-15 18:30
서울 암사동 유적,,여유,300,400,43.8,56.2,2024-11-15 18:40
서울 암사동 유적,,여유,300,400,46.1,53.9,2024-11-15 18:50
서울 암사동 유적,,여유,300,400,48.1,51.9,2024-11-15 19:00
서울 암사동 유적,,여유,300,400,47.2,52.8,2024-11-15 19:10
서울 암사동 유적,,여유,300,400,48.8,51.2,2024-11-15 19:20
서울 암사동 유적,,여유,300,400,50.0,50.0,2024-11-15 19:30
서울 암사동 유적,,여유,300,400,51.0,49.0,2024-11-15 19:40
서울 암사동 유적,,여유,200,300,52.9,47.1,2024-11-15 19:50
서울 암사동 유적,,여유,200,300,52.6,47.4,2024-11-15 20:05
서울 암사동 유적,,여유,200,300,54.2,45.8,2024-11-15 20:15
서울 암사동 유적,,여유,200,300,55.0,45.0,2024-11-15 20:25
서울 암사동 유적,,여유,200,300,55.0,45.0,2024-11-15 20:35
서울 암사동 유적,,여유,200,300,55.6,44.4,2024-11-15 20:45
서울 암사동 유적,,여유,200,300,61.7,38.3,2024-11-15 20:55
서울 암사동 유적,,여유,200,300,62.2,37.8,2024-11-15 21:05
서울 암사동 유적,,여유,200,300,59.2,40.8,2024-11-15 21:15
서울 암사동 유적,,여유,200,300,65.2,34.8,2024-11-15 21:25
서울 암사동 유적,,여유,200,300,68.0,32.0,2024-11-15 21:45
서울 암사동 유적,,여유,200,300,66.6,33.4,2024-11-15 21:55
서울 암사동 유적,,여유,200,300,68.2,31.8,2024-11-15 22:05
서울 암사동 유적,,여유,200,300,68.4,31.6,2024-11-15 22:15
서울 암사동 유적,,여유,200,300,68.6,31.4,2024-11-15 22:25
서울 암사동 유적,,여유,200,300,72.6,27.4,2024-11-15 22:35
서울 암사동 유적,,여유,200,300,72.1,27.9,2024-11-15 22:45
서울 암사동 유적,,여유,200,300,72.8,27.2,2024-11-15 23:00
서울 암사동 유적,,여유,300,400,74.5,25.5,2024-11-15 23:10
서울 암사동 유적,,여유,300,400,71.2,28.8,2024-11-15 23:20
서울 암사동 유적,,여유,300,400,72.7,27.3,2024-11-15 23:30
서울 암사동 유적,,여유,300,400,74.7,25.3,2024-11-15 23:40
서울 암사동 유적,,여유,300,400,74.5,25.5,2024-11-15 23:50
서울 암사동 유적,,여유,400,500,75.5,24.5,2024-11-16 00:00
서울 암사동 유적,,여유,400,500,76.7,23.3,2024-11-16 00:10
서울 암사동 유적,,여유,400,500,77.5,22.5,2024-11-16 00:20
서울 암사동 유적,,여유,400,500,77.5,22.5,2024-11-16 00:30
서울 암사동 유적,,여유,400,500,77.3,22.7,2024-11-16 00:40
서울 암사동 유적,,여유,400,500,80.5,19.5,2024-11-16 00:50
서울 암사동 유적,,여유,400,500,79.8,20.2,2024-11-16 01:00
서울 암사동 유적,,여유,400,500,79.4,20.6,2024-11-16 01:10
서울 암사동 유적,,여유,400,500,80.3,19.7,2024-11-16 01:20
서울 암사동 유적,,여유,400,500,79.4,20.6,2024-11-16 01:30
서울 암사동 유적,,여유,400,500,81.5,18.5,2024-11-16 01:50
서울 암사동 유적,,여유,400,500,82.1,17.9,2024-11-16 02:05
서울 암사동 유적,,여유,400,500,81.6,18.4,2024-11-16 02:15
서울 암사동 유적,,여유,400,500,81.4,18.6,2024-11-16 02:25
서울 암사동 유적,,여유,400,500,81.5,18.5,2024-11-16 02:35
서울 암사동 유적,,여유,400,500,81.7,18.3,2024-11-16 02:45
서울 암사동 유적,,여유,400,500,80.9,19.1,2024-11-16 02:55
서울 암사동 유적,,여유,400,500,81.9,18.1,2024-11-16 03:05
서울 암사동 유적,,여유,400,500,81.6,18.4,2024-11-16 03:15
서울 암사동 유적,,여유,400,500,80.8,19.2,2024-11-16 03:25
서울 암사동 유적,,여유,400,500,80.8,19.2,2024-11-16 03:35
서울 암사동 유적,,여유,400,500,80.8,19.2,2024-11-16 03:55
서울 암사동 유적,,여유,400,500,80.7,19.3,2024-11-16 04:05
서울 암사동 유적,,여유,400,500,82.7,17.3,2024-11-16 04:25
서울 암사동 유적,,여유,400,500,79.4,20.6,2024-11-16 04:35
서울 암사동 유적,,여유,400,500,81.5,18.5,2024-11-16 04:45
서울 암사동 유적,,여유,400,500,79.4,20.6,2024-11-16 04:55
서울 암사동 유적,,여유,400,500,80.6,19.4,2024-11-16 05:05
서울 암사동 유적,,여유,400,500,80.0,20.0,2024-11-16 05:15
서울 암사동 유적,,여유,400,500,78.1,21.9,2024-11-16 05:25
서울 암사동 유적,,여유,400,500,75.9,24.1,2024-11-16 05:35
서울 암사동 유적,,보통,400,500,73.8,26.2,2024-11-16 05:45
서울 암사동 유적,,보통,400,500,72.7,27.3,2024-11-16 06:00
서울 암사동 유적,,보통,400,500,70.2,29.8,2024-11-16 06:10
서울 암사동 유적,,보통,500,600,62.5,37.5,2024-11-16 06:20
서울 암사동 유적,,보통,500,600,61.6,38.4,2024-11-16 06:30
서울 암사동 유적,,보통,500,600,63.2,36.8,2024-11-16 06:40
서울 암사동 유적,,보통,500,600,62.3,37.7,2024-11-16 06:50
서울 암사동 유적,,보통,500,600,64.6,35.4,2024-11-16 07:00
서울 암사동 유적,,보통,400,500,68.3,31.7,2024-11-16 07:10
서울 암사동 유적,,보통,400,500,68.3,31.7,2024-11-16 07:20
서울 암사동 유적,,여유,400,500,68.2,31.8,2024-11-16 07:30
서울 암사동 유적,,여유,400,500,67.2,32.8,2024-11-16 07:40
서울 암사동 유적,,여유,400,500,65.9,34.1,2024-11-16 08:00
서울 암사동 유적,,여유,400,500,65.4,34.6,2024-11-16 08:10
서울 암사동 유적,,보통,400,500,61.8,38.2,2024-11-16 08:20
서울 암사동 유적,,보통,400,500,60.8,39.2,2024-11-16 08:30
서울 암사동 유적,,보통,400,500,59.3,40.7,2024-11-16 08:40
서울 암사동 유적,,여유,400,500,59.6,40.4,2024-11-16 08:50
서울 암사동 유적,,보통,400,500,60.7,39.3,2024-11-16 09:00
서울 암사동 유적,,보통,400,500,57.3,42.7,2024-11-16 09:10
서울 암사동 유적,,보통,400,500,52.2,47.8,2024-11-16 09:25
서울 암사동 유적,,보통,400,500,50.8,49.2,2024-11-16 09:35
서울 암사동 유적,,보통,500,600,48.7,51.3,2024-11-16 09:45
서울 암사동 유적,,보통,400,500,50.1,49.9,2024-11-16 09:55
서울 암사동 유적,,보통,400,500,48.3,51.7,2024-11-16 10:05
서울 암사동 유적,,보통,400,500,47.5,52.5,2024-11-16 10:15
서울 암사동 유적,,보통,500,600,46.4,53.6,2024-11-16 10:25
서울 암사동 유적,,보통,500,600,43.4,56.6,2024-11-16 10:35
서울 암사동 유적,,보통,500,600,41.5,58.5,2024-11-16 10:45
서울 암사동 유적,,보통,500,600,40.4,59.6,2024-11-16 10:55
서울 암사동 유적,,보통,500,600,38.8,61.2,2024-11-16 11:05
서울 암사동 유적,,보통,500,600,38.4,61.6,2024-11-16 11:15
서울 암사동 유적,,보통,500,600,38.6,61.4,2024-11-16 11:25
서울 암사동 유적,,보통,500,600,38.2,61.8,2024-11-16 11:35
서울 암사동 유적,,보통,500,600,39.8,60.2,2024-11-16 11:45
서울 암사동 유적,,보통,400,500,41.1,58.9,2024-11-16 11:55
서울 암사동 유적,,보통,400,500,41.1,58.9,2024-11-16 12:05
서울 암사동 유적,,보통,400,500,41.6,58.4,2024-11-16 12:20
서울 암사동 유적,,보통,400,500,39.4,60.6,2024-11-16 12:30
서울 암사동 유적,,보통,400,500,39.4,60.6,2024-11-16 12:40
서울 암사동 유적,,보통,500,600,38.4,61.6,2024-11-16 12:50
서울 암사동 유적,,보통,400,500,40.3,59.7,2024-11-16 13:00
서울 암사동 유적,,보통,500,600,37.6,62.4,2024-11-16 13:10
서울 암사동 유적,,보통,500,600,37.3,62.7,2024-11-16 13:20
서울 암사동 유적,,보통,500,600,37.2,62.8,2024-11-16 13:30
서울 암사동 유적,,보통,500,600,37.5,62.5,2024-11-16 13:40
서울 암사동 유적,,보통,500,600,36.2,63.8,2024-11-16 13:50
서울 암사동 유적,,보통,500,600,37.0,63.0,2024-11-16 14:00
서울 암사동 유적,,보통,500,600,35.9,64.1,2024-11-16 14:10
서울 암사동 유적,,보통,500,600,34.2,65.8,2024-11-16 14:20
서울 암사동 유적,,보통,500,600,35.7,64.3,2024-11-16 14:30
서울 암사동 유적,,보통,500,600,35.7,64.3,2024-11-16 14:40
서울 암사동 유적,,보통,500,600,34.8,65.2,2024-11-16 14:50
서울 암사동 유적,,보통,500,600,35.2,64.8,2024-11-16 15:05
서울 암사동 유적,,보통,500,600,34.7,65.3,2024-11-16 15:15
서울 암사동 유적,,보통,500,600,36.3,63.7,2024-11-16 15:25
서울 암사동 유적,,보통,500,600,35.6,64.4,2024-11-16 15:35
서울 암사동 유적,,보통,400,500,37.2,62.8,2024-11-16 15:45
서울 암사동 유적,,보통,400,500,38.1,61.9,2024-11-16 15:55
서울 암사동 유적,,보통,400,500,38.7,61.3,2024-11-16 16:05
서울 암사동 유적,,보통,400,500,38.7,61.3,2024-11-16 16:15
서울 암사동 유적,,보통,500,600,36.5,63.5,2024-11-16 16:25
서울 암사동 유적,,보통,400,500,41.4,58.6,2024-11-16 16:35
서울 암사동 유적,,여유,400,500,42.6,57.4,2024-11-16 16:45
서울 암사동 유적,,여유,400,500,44.8,55.2,2024-11-16 16:55
서울 암사동 유적,,여유,400,500,45.8,54.2,2024-11-16 17:05
서울 암사동 유적,,보통,400,500,43.0,57.0,2024-11-16 17:15
서울 암사동 유적,,보통,400,500,42.9,57.1,2024-11-16 17:25
